	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10068.Gastrectomy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10056.Gastrectomy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10455.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10243.Gastrectomy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10618.Healthy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10104.Gastrectomy	10369.Gastrectomy	10574.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10562.Healthy	10395.Gastrectomy	10742.Gastrectomy	10672.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10509.Gastrectomy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
M00806	9.138533333333332e-07	9.537766666666667e-06	2.9789133333333333e-06	2.2026266666666665e-07	3.1838033333333333e-06	4.239433333333333e-07	6.1857666666666676e-06	2.5346033333333333e-06	4.8243666666666665e-06	4.0257e-06	3.2446866666666663e-06	1.2277533333333332e-05	1.41638e-06	9.172599999999999e-07	1.7193133333333333e-06	2.4045566666666666e-05	2.58149e-06	1.0728666666666666e-05	3.06546e-06	1.14094e-07	6.481933333333333e-06	1.18629e-06	1.4980533333333332e-06	8.046333333333334e-08	1.9953366666666666e-06	4.7868000000000005e-06	5.958266666666667e-06	7.482566666666666e-06	1.465883333333333e-06	7.898600000000001e-06	8.877399999999999e-06	5.4807666666666675e-06	1.5543366666666668e-05	1.1948266666666667e-05	5.727766666666666e-07	6.0856000000000015e-06	5.0704666666666674e-06	2.7056433333333337e-06	4.0303e-07	1.11625e-06	2.5009433333333333e-06	5.0057e-06	2.465843333333333e-06	1.82936e-05	2.817626666666667e-06	2.759766666666667e-06	5.220166666666667e-06	2.2640233333333334e-06	1.55375e-06	5.6076e-06	2.2070500000000003e-06	2.3605799999999998e-06	3.0046866666666665e-06	1.92178e-06	4.676666666666666e-06	3.3702333333333333e-06	4.667366666666666e-06	6.636833333333334e-07	1.0872633333333331e-06	7.8794e-07	1.0819333333333333e-05	5.728733333333334e-07	1.6279133333333332e-06	1.1297166666666666e-05	1.0173833333333334e-05	2.8500533333333334e-06	1.2250433333333334e-05	5.585933333333333e-07	3.18082e-06	2.363386666666667e-06	9.249566666666668e-07	6.185566666666667e-07	1.1636633333333334e-06	3.3675999999999997e-06	1.1500933333333334e-06	8.9912e-06	5.722466666666667e-06	1.7300933333333332e-05	7.972533333333334e-06	1.5156233333333333e-06	2.274306666666667e-06	5.958933333333333e-06	1.0524166666666668e-06	9.5666e-07	1.12315e-05	1.873996666666667e-05	6.989933333333333e-06	6.287600000000001e-07	4.4415e-06	9.508333333333333e-06	3.891433333333333e-07	7.7737e-06	8.127733333333334e-06	1.3469833333333333e-06	4.787966666666666e-06	3.6770666666666674e-06	5.578666666666667e-07	4.4639e-06	1.3344033333333333e-06	3.4931333333333326e-06	3.9342e-06	5.552999999999998e-06	8.153699999999998e-07	2.8687733333333334e-06	6.7697666666666666e-06	5.616533333333333e-06
M00711	3.3641e-08	6.53101e-06	0.0	2.8774849999999998e-06	2.7748649999999997e-05	0.0	8.89859e-07	4.815725e-07	3.949085e-07	0.0	2.032105e-06	1.9623415e-06	6.678644999999999e-08	0.0	0.0	3.3881e-05	7.070024999999998e-07	4.7971650000000005e-06	4.5562199999999985e-06	6.448665e-07	1.924645e-07	0.0	8.31345e-08	5.852305e-06	2.65077e-06	7.92143e-06	1.07091e-06	1.0999865e-06	0.0	1.330435e-07	5.791225e-06	2.88904e-07	4.50433e-05	3.840665e-05	0.0	1.3796875e-06	8.1716e-08	6.152325e-07	0.0	4.38235e-08	1.437581e-05	8.268755e-06	1.7097049999999996e-06	1.970345e-05	5.870690000000001e-07	0.0	6.27241e-06	4.54921e-06	0.0	1.415823e-06	0.0	1.81437e-07	5.891809e-07	2.109875e-05	0.0	3.238285e-06	3.97776e-07	9.688805000000002e-07	6.507725000000001e-07	6.41465e-08	0.0	1.170775e-07	1.0184595e-06	5.085800000000001e-07	2.701195e-07	6.7443999999999985e-06	3.881505e-07	5.4447e-08	2.951085e-05	1.88108e-05	7.6226e-08	1.3848695e-06	1.934405e-06	2.3209e-05	3.34254e-07	4.948365e-07	2.74603e-07	4.62927e-06	6.5217332500000016e-06	0.0	9.05665e-08	1.206418e-05	0.0	7.438104999999999e-06	2.524875e-05	6.93033e-06	3.031245e-05	0.0	7.99405e-06	3.4446700000000003e-05	0.0	2.090065e-05	1.3991965e-06	3.14691e-06	1.1302275e-05	1.391685e-06	1.534187e-05	4.77189e-08	7.64014e-06	3.9996e-06	4.154975e-06	1.67875e-05	0.0	5.661935e-06	0.0	3.86677e-07
M00712	0.0	1.457556e-05	0.0	0.0	0.0	0.0	0.0	9.81405e-06	2.78246e-06	0.0	0.0	2.535295e-07	0.0	0.0	0.0	0.0	0.0	1.387536e-05	0.0	0.0	5.199549999999999e-07	1.4838565e-06	0.0	0.0	0.0	0.0	0.0	8.329615e-07	0.0	0.0	7.775065e-06	0.0	0.0	0.0	0.0	0.0	4.982535e-08	0.0	0.0	1.027788e-07	0.0	0.0	0.0	7.3253e-05	0.0	3.04172e-06	0.0	0.0	2.307685e-07	0.0	0.0	1.773815e-07	6.583405000000001e-07	0.0	0.0	2.228865e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.175135e-07	8.079665e-07	0.0	4.384895e-08	0.0	0.0	4.2577e-07	0.0	0.0	0.0	0.0	0.0	0.0	3.573155e-07	1.8332835e-05	5.237e-08	6.6169e-08	0.0	3.405190000000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.704425e-07	0.0	0.0	0.0	0.0	7.189250000000001e-08	1.656875e-07	6.591475e-07	0.0	0.0	0.0	0.0	0.0	1.394855e-06	4.90895e-08	5.24367e-06	1.385495e-07
M00821	8.3732e-06	1.6603575e-05	4.142525e-06	5.8191999999999984e-06	4.7479e-06	9.316925e-07	5.011325e-06	9.43015e-06	8.5961e-07	2.8051e-06	2.267025e-06	1.03877e-06	7.608825000000002e-06	4.6759500000000005e-06	1.2332e-05	2.811225e-05	6.7872e-06	1.087665e-05	4.22435e-06	1.1179425000000004e-05	2.23357e-06	8.530675e-07	1.9377875e-06	1.7940275e-06	2.25652e-06	3.4624e-06	3.908675e-06	2.2344075000000003e-06	5.169725e-06	1.871345e-05	5.141075e-06	9.6499e-06	1.6372574999999998e-05	1.6228125e-05	7.159775e-06	5.88425e-06	1.223605e-06	8.159375e-07	3.35305e-06	2.0489275e-06	1.3568325e-05	4.29075e-06	3.77625e-06	1.5015775e-06	1.738155e-06	2.01551e-06	3.18735e-06	3.382475e-06	5.488375e-06	4.9141e-06	2.5822000000000005e-06	5.26475e-06	9.794175e-06	1.5203425e-05	2.1738225e-06	5.102474999999999e-07	8.404700000000001e-06	1.36295e-05	3.29925e-06	7.382800000000002e-07	6.2895500000000015e-06	5.874775e-06	3.3624e-06	1.0220575e-05	5.995375e-07	5.3175e-06	4.82085e-06	1.2827875e-06	4.495925e-06	6.67385e-06	1.056685e-05	3.9348e-06	3.534775000000001e-06	8.41745e-06	4.324025e-06	6.280025e-07	1.4541875e-06	1.1417625e-06	5.7191999999999985e-06	1.804695e-06	3.481925e-06	1.474475e-05	9.7167e-07	7.309249999999999e-06	1.1717075e-05	2.786875e-06	2.402875e-05	7.9805e-06	1.7471975e-05	2.4548475e-05	6.032925e-06	8.011224999999999e-06	1.0215225e-06	3.76925e-06	6.480625e-06	2.4246375e-06	8.882150000000001e-06	4.017775e-06	1.27091e-06	3.860925e-06	2.9046e-06	1.1863125e-05	1.632725e-06	4.862875e-06	1.5682125e-06	4.7191e-06
M00701	1.9543925e-07	1.42367675e-05	0.0	3.368330000000001e-06	3.03192e-05	0.0	2.2263025e-06	3.209045e-06	1.8739818e-06	0.0	1.98232775e-06	1.9871245e-05	5.291574999999999e-07	5.390277499999999e-07	0.0	7.0412975e-05	5.567345e-07	6.3952325e-06	5.1734902500000005e-06	1.0878805e-06	0.0	0.0	2.9481175e-07	2.87619025e-05	3.062474000000001e-06	1.2330275e-05	7.399159999999997e-06	2.8607175e-06	0.0	8.282922499999998e-07	6.0100225e-06	2.5723000000000003e-06	4.440935000000001e-05	5.158457500000001e-05	0.0	3.39726e-06	6.6602495e-06	3.2393425e-06	7.75284e-07	9.749711e-07	1.91596e-05	7.0016175e-06	3.524525e-06	0.0	3.098064e-06	0.0	1.0384115e-05	7.36672425e-06	0.0	1.283848e-05	8.812981499999998e-07	2.7561015e-06	4.2866525e-07	3.6646e-05	8.383075500000002e-07	0.0	9.4302975e-07	1.3392075e-06	1.21422e-06	1.774869e-07	5.8443775e-07	0.0	2.1645375000000003e-06	2.6600165e-06	1.1303937000000003e-05	9.76495e-06	5.6591625e-07	0.0	2.73306e-05	3.3124175e-05	3.52261425e-06	2.6460775e-06	4.9240175e-06	3.0342400000000013e-05	8.288969999999998e-07	1.4841162500000004e-06	9.895155e-07	4.408168e-06	1.1492045000000001e-05	6.3524725e-07	1.6069592499999996e-06	1.5783772499999998e-05	0.0	1.1682685e-05	3.457916e-05	1.4096475e-05	4.8664825000000004e-05	0.0	7.256435e-06	2.8487987499999998e-05	0.0	2.601335e-05	2.668195e-06	3.318284e-06	2.30349e-05	2.78733e-06	2.791235e-05	0.0	1.1322494999999997e-05	4.973325e-06	5.42506725e-06	2.6522600000000006e-05	0.0	9.620685e-06	0.0	2.2037805e-06
M00706	8.519055e-08	0.0	1.069772e-06	1.0402460000000001e-07	5.90381e-06	4.5592300000000005e-08	2.2928305000000004e-06	3.0614049999999995e-08	3.898867e-06	1.057186e-06	3.0161085e-06	6.005623e-06	1.1698335e-06	1.3982149999999998e-07	0.0	1.434485e-08	2.0469050000000008e-07	2.546075e-06	1.3375915e-06	6.701630000000001e-08	4.81449e-06	0.0	1.141314e-07	7.594532e-07	1.997595e-07	3.4024045e-06	2.9002835e-06	1.830925e-06	7.83105e-08	2.643805e-08	6.917404999999999e-07	3.4256e-08	2.047545e-07	3.6711875e-07	1.4075949999999998e-07	4.037445e-06	3.87022e-06	2.1596745e-06	3.67042e-07	1.4697925e-06	4.12723e-08	6.1816e-07	1.03004e-07	7.645470000000002e-07	2.74562317e-06	4.545635e-07	6.86733e-07	5.095178e-07	8.5531e-08	4.24834475e-05	3.087315e-07	1.0468535e-05	6.732524999999999e-07	3.513545e-07	5.613100000000001e-09	5.80985e-07	4.10745e-08	1.392692e-07	6.689215e-07	1.2927649999999998e-06	1.1577505e-06	8.707640000000002e-07	4.6713315e-06	1.238575e-06	3.536295e-06	1.1700358999999998e-06	3.912215e-06	2.891315e-08	5.539589999999999e-07	4.1011305000000005e-06	6.57888e-07	8.065694999999998e-07	1.5383755e-06	1.027343e-07	1.6781999999999999e-06	1.0381905000000001e-06	1.2208034999999998e-06	2.85473e-07	2.583195e-06	4.11221e-06	3.525122e-07	2.250753e-07	9.71701e-07	1.2136925e-06	1.0779745e-06	1.973437e-06	2.025285e-07	3.066865e-08	1.28891e-08	1.8074075e-06	0.0	1.1528505e-06	7.42283e-07	3.766385e-07	1.6789220000000001e-06	2.9529322e-06	5.6415e-08	1.469863e-06	6.775099999999999e-07	2.73264e-07	2.228332e-06	7.540340500000002e-07	0.0	1.5808444999999996e-06	8.539125e-07	7.946835000000002e-07
M00707	1.43125e-07	4.865644999999999e-06	3.3268699999999995e-08	4.446585e-06	4.023260000000001e-05	0.0	6.647223000000001e-07	9.46481e-07	9.45e-09	0.0	0.0	4.6972405000000003e-07	1.0038085e-07	1.25489e-07	0.0	6.545309999999999e-05	1.142505e-07	1.407385e-06	0.0	1.24542e-06	0.0	0.0	1.5217750000000001e-07	6.2797300000000015e-06	0.0	1.3283900000000003e-05	4.48405e-07	1.94482e-07	0.0	5.110805000000001e-07	0.0	1.7419900000000004e-06	0.0	2.15795e-05	0.0	1.382385e-06	1.7222749999999998e-07	7.414250000000002e-07	2.241805e-07	2.193475e-08	2.3013e-05	3.066223e-06	3.0479750000000002e-06	0.0	1.344925e-06	7.533904999999999e-08	1.113455e-05	5.97439e-07	0.0	1.60342e-05	1.239325e-07	4.68992e-07	1.024085e-08	3.5521599999999995e-05	0.0	0.0	7.144889999999998e-07	1.788795e-06	8.44131e-07	8.45585e-09	5.4031e-08	6.976005000000001e-08	2.426265e-06	3.105895e-07	5.26805e-07	2.77464e-06	5.80509e-07	3.960755e-07	3.62116e-05	3.725515e-05	2.5605e-07	2.246455e-06	3.6484e-06	3.3533e-05	8.0829e-08	4.32797e-08	2.82178e-08	9.56099e-08	7.29183e-08	2.87102e-08	1.0064750000000001e-08	1.856855e-07	0.0	1.281475e-05	1.0749080000000004e-05	6.612110000000001e-06	2.31869e-05	0.0	1.39972e-06	4.7924705e-06	0.0	1.587545e-05	1.6032000000000004e-06	1.304444e-07	2.476895e-05	7.414549999999998e-07	2.7961e-05	5.77895e-08	1.351945e-05	2.5402645e-06	1.076905e-06	1.566215e-05	0.0	3.04175e-06	0.0	0.0
M00708	4.67445e-07	0.0	4.93936e-07	1.14713e-08	6.142005e-07	0.0	2.547185e-06	4.43111e-08	8.579065e-07	2.5181800000000004e-07	5.248154999999999e-07	8.727625000000001e-06	2.463515e-07	3.14092e-08	0.0	0.0	0.0	1.316475e-05	1.527887e-07	3.90648e-08	2.902565e-06	0.0	0.0	1.2886150000000002e-07	3.476575e-07	5.851255e-06	2.8343e-06	6.492942000000002e-06	0.0	0.0	2.77283e-08	0.0	2.147545e-07	0.0	2.967405e-08	8.666225e-07	1.65735e-06	8.90471e-07	4.47789e-07	2.91605e-07	3.300995e-07	1.428502e-06	2.97191e-08	1.468085e-07	6.42504e-07	5.625875e-08	6.046265e-07	1.9242060000000006e-07	0.0	2.0986899999999998e-07	9.885435e-08	4.0538735e-06	1.496688e-05	1.686515e-07	3.551255e-06	9.93515e-08	9.49835e-09	7.594010000000001e-08	2.36388e-07	9.52877e-07	3.21999e-08	9.448489999999999e-07	2.437483e-06	1.7955535000000005e-07	1.472825e-06	1.0402495e-07	6.085365e-07	0.0	6.818465000000001e-07	5.891485e-07	3.944705e-07	9.92447e-08	4.19155e-07	8.838394999999998e-07	0.0	1.51454e-07	7.09937e-07	2.394445e-07	1.2126135e-06	3.4401800000000003e-07	3.3997055e-06	6.741004999999999e-07	2.1093850000000002e-08	0.0	1.1565045e-06	1.00303e-06	0.0	2.3413900000000003e-07	6.956635e-07	6.895285000000001e-06	0.0	2.875251e-07	0.0	8.755769999999999e-08	2.10254e-06	2.31086965e-05	0.0	6.84075e-07	1.543777e-07	4.02516e-07	4.996585000000001e-07	2.398145e-07	0.0	0.0	2.14768e-07	7.87512e-07
M00709	5.696778e-06	2.78902e-06	0.0	1.54847e-06	1.71842e-05	0.0	8.81311e-07	6.6378783e-06	0.0	0.0	3.15288e-06	2.1299320000000003e-05	5.3793971e-06	3.343827833333333e-06	0.0	5.51888e-05	4.42305e-07	8.00222e-07	4.63524e-06	2.88109e-07	1.5172045333333332e-06	0.0	1.388766e-06	4.71185e-06	2.4949e-06	8.819061e-06	1.95385e-06	3.36134e-06	0.0	1.27726325e-05	2.92195e-06	7.843886333333334e-06	4.12308e-05	3.6726296000000003e-05	0.0	2.17257e-06	5.62501e-07	8.221550000000002e-07	4.55303e-07	1.9416273666666667e-06	9.73281e-06	7.870376499999999e-06	1.7119099999999997e-06	0.0	2.9877203333333326e-06	1.3765389e-06	7.151366e-06	6.608271433333334e-06	0.0	9.505473633333333e-06	2.2841451333333333e-06	5.709236216666667e-06	6.99138e-07	2.45738e-05	1.12615e-06	0.0	2.59056e-07	4.62544e-07	2.11188e-07	1.52946e-07	4.5652836666666674e-06	4.24534055e-06	6.658379999999999e-07	1.3222899999999998e-06	1.28215e-06	8.55038e-06	2.92104e-07	1.48396275e-06	1.64645e-05	1.1475e-05	7.9137e-08	3.957745333333334e-06	3.918538333333334e-06	1.6629e-05	3.5292588333333328e-06	3.67812e-07	2.0190903333333336e-06	7.840411833333331e-07	1.23481e-05	1.7164356499999997e-06	0.0	1.77295e-05	0.0	3.5219e-06	2.243478936666667e-05	5.851e-06	4.16922e-05	0.0	5.1215e-06	4.12725e-05	0.0	1.67795e-05	9.90222e-07	3.32501e-06	1.3871633333333331e-05	1.48086e-06	1.61682e-05	0.0	3.50667e-06	4.55679e-06	5.8819243333333325e-06	2.18109e-05	0.0	6.39222e-06	0.0	3.760922e-06
M00739	1.2600636e-07	3.268018e-06	3.9721280000000005e-08	4.2399259999999984e-06	3.3394740000000003e-05	2.80947e-07	2.608126e-06	1.5763059999999996e-06	1.728692e-06	4.319914e-07	1.4119033999999996e-06	3.0178e-05	8.69654e-07	5.644546e-07	0.0	6.588161999999999e-05	1.374126e-07	1.6101152000000003e-06	3.2717204000000007e-06	1.0003456e-06	6.488474e-08	0.0	1.8871604e-07	5.82163e-06	1.9426728e-06	1.3490679999999995e-05	1.1989588000000005e-05	1.4631894e-06	0.0	4.389386e-07	1.978634e-06	1.6666130000000004e-06	3.061464000000001e-05	3.403598e-05	2.391352e-07	2.50288e-06	1.5817060000000002e-05	3.62056e-06	2.561852e-07	1.3753280000000001e-06	1.492943e-05	7.402542e-06	2.518118e-06	8.344801999999999e-06	3.621666e-06	4.357092e-08	9.490524e-06	2.2710176000000003e-06	3.471814e-08	1.1959913999999995e-05	1.0768232e-06	6.025736000000002e-06	2.06413e-07	3.161410000000001e-05	2.6006112e-07	1.4201962e-07	7.517163999999998e-07	1.4001784000000002e-06	1.31882e-06	2.285548e-07	7.709408000000002e-07	9.453866e-07	2.2641154e-06	4.584006e-06	2.139946e-05	4.9489e-06	8.352543999999998e-07	5.968603999999999e-07	3.2346100000000005e-05	3.428436e-05	3.81052e-07	2.754192e-06	2.745482e-06	3.228644e-05	1.5230439999999996e-06	4.053432e-07	1.2513004e-06	8.092742000000001e-08	1.2422806e-05	1.303136e-06	1.2676002e-07	6.791514e-06	9.155926e-08	1.1254939999999999e-05	1.6779606e-05	1.425646e-05	3.09365e-05	0.0	7.4551520000000014e-06	2.1103700000000006e-05	0.0	2.155116e-05	2.0608416e-06	1.5100404e-06	1.89444e-05	3.669568e-06	2.3909679999999998e-05	7.557978e-07	1.2114546e-05	1.8224476e-06	3.805108e-06	1.850002e-05	1.4276334e-07	4.2921800000000005e-06	3.385586e-07	3.071956e-06
