Module	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10068.Gastrectomy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10056.Gastrectomy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10455.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10243.Gastrectomy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10618.Healthy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10104.Gastrectomy	10369.Gastrectomy	10574.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10562.Healthy	10395.Gastrectomy	10742.Gastrectomy	10672.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10509.Gastrectomy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
M00806	9.138533333333332e-07	9.537766666666667e-06	2.9789133333333333e-06	2.2026266666666665e-07	3.1838033333333333e-06	4.239433333333333e-07	6.1857666666666676e-06	2.5346033333333333e-06	4.8243666666666665e-06	4.0257e-06	3.2446866666666663e-06	1.2277533333333332e-05	1.41638e-06	9.1726e-07	1.7193133333333333e-06	2.4045566666666666e-05	2.58149e-06	1.0728666666666666e-05	3.06546e-06	1.14094e-07	6.481933333333333e-06	1.18629e-06	1.4980533333333332e-06	8.046333333333334e-08	1.9953366666666666e-06	4.7868000000000005e-06	5.958266666666667e-06	7.482566666666666e-06	1.465883333333333e-06	7.898600000000001e-06	8.877399999999999e-06	5.4807666666666675e-06	1.5543366666666668e-05	1.1948266666666667e-05	5.727766666666666e-07	6.0856000000000015e-06	5.0704666666666674e-06	2.7056433333333337e-06	4.0303000000000003e-07	1.11625e-06	2.5009433333333333e-06	5.0057e-06	2.465843333333333e-06	1.82936e-05	2.817626666666667e-06	2.759766666666667e-06	5.220166666666667e-06	2.2640233333333334e-06	1.55375e-06	5.6076e-06	2.2070500000000003e-06	2.36058e-06	3.0046866666666665e-06	1.92178e-06	4.676666666666666e-06	3.3702333333333333e-06	4.667366666666666e-06	6.636833333333334e-07	1.0872633333333331e-06	7.8794e-07	1.0819333333333333e-05	5.728733333333334e-07	1.6279133333333332e-06	1.1297166666666666e-05	1.0173833333333334e-05	2.8500533333333334e-06	1.2250433333333334e-05	5.585933333333333e-07	3.18082e-06	2.363386666666667e-06	9.249566666666668e-07	6.185566666666667e-07	1.1636633333333334e-06	3.3676e-06	1.1500933333333334e-06	8.9912e-06	5.722466666666667e-06	1.7300933333333332e-05	7.972533333333334e-06	1.5156233333333333e-06	2.274306666666667e-06	5.958933333333333e-06	1.0524166666666668e-06	9.5666e-07	1.12315e-05	1.873996666666667e-05	6.989933333333333e-06	6.287600000000001e-07	4.4415e-06	9.508333333333333e-06	3.891433333333333e-07	7.7737e-06	8.127733333333334e-06	1.3469833333333333e-06	4.787966666666666e-06	3.6770666666666674e-06	5.578666666666667e-07	4.4639e-06	1.3344033333333333e-06	3.4931333333333326e-06	3.9342e-06	5.552999999999999e-06	8.153699999999999e-07	2.8687733333333334e-06	6.7697666666666666e-06	5.616533333333333e-06
M00710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.432315e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.28805e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.084905e-08	0.0	0.0	0.0	0.0
M00711	3.3641e-08	6.53101e-06	0.0	2.877485e-06	2.774865e-05	0.0	8.89859e-07	4.815725e-07	3.949085e-07	0.0	2.032105e-06	1.9623415e-06	6.678644999999999e-08	0.0	0.0	3.3880999999999996e-05	7.070024999999999e-07	4.7971650000000005e-06	4.556219999999999e-06	6.448665e-07	1.9246449999999998e-07	0.0	8.31345e-08	5.852305e-06	2.65077e-06	7.92143e-06	1.07091e-06	1.0999865e-06	0.0	1.330435e-07	5.791225e-06	2.88904e-07	4.5043299999999996e-05	3.840665e-05	0.0	1.3796875e-06	8.1716e-08	6.152325e-07	0.0	4.3823499999999995e-08	1.4375810000000001e-05	8.268755e-06	1.7097049999999998e-06	1.9703450000000002e-05	5.870690000000001e-07	0.0	6.27241e-06	4.54921e-06	0.0	1.415823e-06	0.0	1.8143699999999999e-07	5.891809e-07	2.109875e-05	0.0	3.238285e-06	3.97776e-07	9.688805000000002e-07	6.507725000000001e-07	6.41465e-08	0.0	1.1707750000000001e-07	1.0184595000000001e-06	5.085800000000001e-07	2.7011949999999997e-07	6.7443999999999985e-06	3.881505e-07	5.4447e-08	2.951085e-05	1.88108e-05	7.6226e-08	1.3848695e-06	1.934405e-06	2.3209e-05	3.34254e-07	4.948365e-07	2.74603e-07	4.6292699999999995e-06	6.5217332500000016e-06	0.0	9.056649999999999e-08	1.206418e-05	0.0	7.438104999999999e-06	2.524875e-05	6.93033e-06	3.0312449999999998e-05	0.0	7.99405e-06	3.4446700000000003e-05	0.0	2.090065e-05	1.3991964999999999e-06	3.1469099999999997e-06	1.1302275e-05	1.391685e-06	1.534187e-05	4.77189e-08	7.64014e-06	3.9996e-06	4.154975e-06	1.67875e-05	0.0	5.661935e-06	0.0	3.8667700000000004e-07
M00712	0.0	1.457556e-05	0.0	0.0	0.0	0.0	0.0	9.81405e-06	2.7824599999999998e-06	0.0	0.0	2.535295e-07	0.0	0.0	0.0	0.0	0.0	1.387536e-05	0.0	0.0	5.199549999999999e-07	1.4838565e-06	0.0	0.0	0.0	0.0	0.0	8.329615e-07	0.0	0.0	7.775065e-06	0.0	0.0	0.0	0.0	0.0	4.982535e-08	0.0	0.0	1.027788e-07	0.0	0.0	0.0	7.3253e-05	0.0	3.04172e-06	0.0	0.0	2.307685e-07	0.0	0.0	1.773815e-07	6.583405000000001e-07	0.0	0.0	2.228865e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.175135e-07	8.079665e-07	0.0	4.3848949999999995e-08	0.0	0.0	4.2577e-07	0.0	0.0	0.0	0.0	0.0	0.0	3.573155e-07	1.8332835e-05	5.237e-08	6.6169e-08	0.0	3.4051900000000006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.704425e-07	0.0	0.0	0.0	0.0	7.189250000000001e-08	1.656875e-07	6.591475e-07	0.0	0.0	0.0	0.0	0.0	1.394855e-06	4.90895e-08	5.24367e-06	1.385495e-07
M00715	0.0	0.0	0.0	0.0	0.0	0.0	1.1253982999999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76287e-07	0.0	0.0	0.0	0.0	2.4022105e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.897795e-07	0.0	1.93117e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.582215e-08	0.0	0.0	0.0	4.017435e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2971885500000002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3474860000000002e-07
M00719	0.0	0.0	0.0	0.0	0.0	0.0	9.938585e-08	0.0	1.7128945e-07	0.0	0.0	1.1274659500000002e-06	1.765924e-07	0.0	0.0	0.0	0.0	1.31263e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9889735e-07	1.7235299999999998e-07	4.49214e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.467495e-08	4.69502e-07	4.1625050000000007e-08	0.0	1.9370785000000001e-07	0.0	0.0	0.0	0.0	4.83625e-08	0.0	1.0001974999999997e-07	0.0	0.0	0.0	7.801435000000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	3.4942500000000003e-08	6.264630000000001e-08	0.0	0.0	9.248585e-08	1.6410710000000002e-07	0.0	3.691545e-07	0.0	1.3198015e-07	0.0	1.370328e-07	0.0	4.54596e-08	0.0	1.81047e-07	0.0	0.0	0.0	0.0	0.0	1.3200649999999998e-07	0.0	0.0	4.85923e-08	0.0	0.0	0.0	4.436565e-07	0.0	0.0	0.0	1.0945005e-07	0.0	0.0	0.0	0.0	1.366505e-07	1.3063240000000002e-07	0.0	0.0	0.0	0.0	0.0	1.060281e-07	0.0	8.03823e-08	0.0	0.0
M00821	8.3732e-06	1.6603575e-05	4.142525e-06	5.819199999999999e-06	4.7479e-06	9.316925e-07	5.011325e-06	9.43015e-06	8.5961e-07	2.8051e-06	2.2670249999999997e-06	1.0387700000000001e-06	7.608825000000001e-06	4.6759500000000005e-06	1.2332e-05	2.811225e-05	6.7872e-06	1.087665e-05	4.22435e-06	1.1179425000000002e-05	2.23357e-06	8.530675e-07	1.9377875e-06	1.7940275e-06	2.25652e-06	3.4624e-06	3.908675e-06	2.2344075000000003e-06	5.169725e-06	1.871345e-05	5.141075e-06	9.6499e-06	1.6372574999999998e-05	1.6228125e-05	7.1597749999999996e-06	5.88425e-06	1.223605e-06	8.159375e-07	3.35305e-06	2.0489275000000002e-06	1.3568325e-05	4.2907499999999995e-06	3.77625e-06	1.5015774999999999e-06	1.738155e-06	2.01551e-06	3.18735e-06	3.382475e-06	5.488375e-06	4.9141e-06	2.5822000000000005e-06	5.26475e-06	9.794175e-06	1.5203425e-05	2.1738225e-06	5.102474999999999e-07	8.404700000000001e-06	1.36295e-05	3.2992500000000002e-06	7.382800000000001e-07	6.289550000000001e-06	5.874775e-06	3.3624e-06	1.0220575e-05	5.995375e-07	5.3175e-06	4.82085e-06	1.2827875e-06	4.495925e-06	6.67385e-06	1.0566849999999999e-05	3.9348e-06	3.5347750000000004e-06	8.41745e-06	4.324025e-06	6.280025e-07	1.4541875e-06	1.1417625e-06	5.719199999999999e-06	1.8046950000000001e-06	3.481925e-06	1.474475e-05	9.7167e-07	7.3092499999999995e-06	1.1717075e-05	2.786875e-06	2.402875e-05	7.9805e-06	1.7471975e-05	2.4548475e-05	6.032925e-06	8.011224999999999e-06	1.0215225e-06	3.76925e-06	6.480625e-06	2.4246375e-06	8.882150000000001e-06	4.017775e-06	1.27091e-06	3.860925e-06	2.9045999999999997e-06	1.1863125e-05	1.6327250000000001e-06	4.8628750000000004e-06	1.5682125e-06	4.7191e-06
M00701	1.9543925000000001e-07	1.42367675e-05	0.0	3.3683300000000004e-06	3.03192e-05	0.0	2.2263025e-06	3.209045e-06	1.8739818e-06	0.0	1.98232775e-06	1.9871245e-05	5.291574999999999e-07	5.390277499999999e-07	0.0	7.0412975e-05	5.567345e-07	6.3952325e-06	5.1734902500000005e-06	1.0878805e-06	0.0	0.0	2.9481175e-07	2.87619025e-05	3.0624740000000005e-06	1.2330275e-05	7.399159999999998e-06	2.8607175e-06	0.0	8.282922499999999e-07	6.0100225e-06	2.5723000000000003e-06	4.4409350000000005e-05	5.1584575000000006e-05	0.0	3.39726e-06	6.6602495e-06	3.2393425e-06	7.75284e-07	9.749711e-07	1.9159600000000002e-05	7.0016174999999995e-06	3.524525e-06	0.0	3.098064e-06	0.0	1.0384114999999999e-05	7.36672425e-06	0.0	1.283848e-05	8.812981499999998e-07	2.7561014999999997e-06	4.2866525e-07	3.6646e-05	8.383075500000002e-07	0.0	9.4302975e-07	1.3392075e-06	1.21422e-06	1.774869e-07	5.8443775e-07	0.0	2.1645375000000003e-06	2.6600164999999997e-06	1.1303937000000002e-05	9.76495e-06	5.6591625e-07	0.0	2.73306e-05	3.3124175e-05	3.5226142499999998e-06	2.6460775e-06	4.9240175e-06	3.0342400000000006e-05	8.288969999999998e-07	1.4841162500000004e-06	9.895155e-07	4.408168e-06	1.1492045e-05	6.3524725e-07	1.6069592499999996e-06	1.5783772499999998e-05	0.0	1.1682685e-05	3.457916e-05	1.4096475e-05	4.8664825e-05	0.0	7.2564350000000004e-06	2.84879875e-05	0.0	2.601335e-05	2.668195e-06	3.318284e-06	2.30349e-05	2.78733e-06	2.791235e-05	0.0	1.1322494999999998e-05	4.9733249999999995e-06	5.4250672499999995e-06	2.6522600000000003e-05	0.0	9.620685e-06	0.0	2.2037805e-06
M00822	0.0	0.0	1.3655133333333333e-07	0.0	1.1168833333333334e-07	3.0975566666666664e-07	0.0	0.0	4.565866666666666e-07	5.955766666666666e-07	1.8033466666666668e-08	2.863953333333333e-07	0.0	0.0	1.83688e-07	2.44025e-08	6.406599999999999e-07	0.0	1.5122733333333335e-07	1.1401166666666665e-07	1.53397e-06	8.882566666666667e-08	2.400393333333333e-07	0.0	4.899766666666667e-07	1.7395e-08	4.332266666666666e-08	7.663800000000001e-07	8.5336e-07	5.6272333333333325e-08	3.439533333333333e-07	0.0	9.685e-07	5.4831333333333326e-08	0.0	6.796900000000001e-07	3.9024333333333335e-08	1.0243066666666667e-07	1.19443e-06	2.666183333333333e-07	2.6027733333333337e-06	0.0	3.816766666666667e-07	3.298453333333333e-08	1.5085833333333331e-06	5.280633333333334e-07	1.0187266666666667e-07	3.740066666666667e-08	0.0	3.717166666666667e-07	6.377033333333333e-07	1.43e-07	5.699133333333333e-07	4.364666666666666e-07	0.0	4.062166666666667e-08	0.0	0.0	0.0	4.0792000000000006e-08	0.0	0.0	1.7159500000000002e-07	0.0	4.0599000000000005e-07	1.1047166666666667e-06	0.0	3.698333333333333e-07	3.9654e-08	8.123500000000001e-08	2.49929e-07	2.8628566666666663e-08	1.7222533333333331e-06	0.0	5.433733333333333e-07	1.6254933333333332e-07	1.2573333333333335e-07	0.0	1.0921866666666665e-07	0.0	4.029133333333333e-07	0.0	6.485033333333333e-07	7.775433333333333e-07	6.775466666666667e-09	0.0	0.0	1.47111e-07	0.0	1.3653133333333333e-05	3.312633333333333e-07	0.0	8.040166666666666e-08	3.883033333333333e-07	2.650906666666667e-08	4.6849e-07	8.2931e-07	1.5397866666666666e-07	1.77074e-07	0.0	8.007833333333333e-07	2.73118e-07	0.0	1.9122733333333333e-06	8.152366666666668e-08	4.1272333333333343e-07
M00706	8.519055e-08	0.0	1.069772e-06	1.040246e-07	5.90381e-06	4.5592300000000005e-08	2.2928305000000004e-06	3.0614049999999995e-08	3.898867e-06	1.057186e-06	3.0161085e-06	6.005623e-06	1.1698335e-06	1.3982149999999998e-07	0.0	1.434485e-08	2.0469050000000006e-07	2.546075e-06	1.3375915e-06	6.701630000000001e-08	4.81449e-06	0.0	1.141314e-07	7.594532e-07	1.9975950000000002e-07	3.4024045e-06	2.9002835e-06	1.830925e-06	7.83105e-08	2.643805e-08	6.917404999999999e-07	3.4256e-08	2.047545e-07	3.6711875e-07	1.4075949999999998e-07	4.037445e-06	3.8702199999999995e-06	2.1596745e-06	3.67042e-07	1.4697925e-06	4.12723e-08	6.1816e-07	1.03004e-07	7.645470000000001e-07	2.74562317e-06	4.545635e-07	6.86733e-07	5.095178e-07	8.5531e-08	4.24834475e-05	3.087315e-07	1.0468534999999999e-05	6.732524999999999e-07	3.513545e-07	5.613100000000001e-09	5.80985e-07	4.10745e-08	1.392692e-07	6.689215e-07	1.2927649999999998e-06	1.1577505e-06	8.707640000000002e-07	4.6713315e-06	1.238575e-06	3.536295e-06	1.1700358999999998e-06	3.912215e-06	2.891315e-08	5.539589999999999e-07	4.1011305000000005e-06	6.57888e-07	8.065694999999998e-07	1.5383755e-06	1.0273430000000001e-07	1.6782e-06	1.0381905e-06	1.2208034999999998e-06	2.85473e-07	2.583195e-06	4.11221e-06	3.525122e-07	2.250753e-07	9.71701e-07	1.2136925e-06	1.0779745e-06	1.973437e-06	2.0252849999999999e-07	3.066865e-08	1.28891e-08	1.8074075e-06	0.0	1.1528505e-06	7.42283e-07	3.766385e-07	1.678922e-06	2.9529322e-06	5.6415e-08	1.469863e-06	6.775099999999999e-07	2.73264e-07	2.228332e-06	7.540340500000001e-07	0.0	1.5808444999999996e-06	8.539125e-07	7.946835000000002e-07
