	10369.Gastrectomy	10673.Gastrectomy	10733.Healthy	10354.Healthy	10183.Healthy	10519.Healthy	10463.Healthy	10037.Healthy	10647.Healthy	10341.Healthy	10360.Gastrectomy	10784.Healthy	10114.Healthy	10751.Gastrectomy	10132.Healthy	10297.Gastrectomy	10563.Gastrectomy	10056.Gastrectomy	10618.Healthy	10791.Gastrectomy	10554.Gastrectomy	10068.Gastrectomy	10208.Healthy	10258.Healthy	10599.Gastrectomy	10486.Healthy	10291.Gastrectomy	10340.Healthy	10105.Healthy	10558.Gastrectomy	10176.Gastrectomy	10304.Healthy	10672.Gastrectomy	10794.Healthy	10537.Healthy	10509.Gastrectomy	10659.Healthy	10060.Healthy	10623.Gastrectomy	10395.Gastrectomy	10197.Healthy	10455.Gastrectomy	10433.Gastrectomy	10782.Gastrectomy	10457.Gastrectomy	10319.Gastrectomy	10064.Gastrectomy	10025.Healthy	10234.Gastrectomy	10703.Gastrectomy	10742.Gastrectomy	10317.Healthy	10257.Gastrectomy	10207.Healthy	10058.Healthy	10250.Healthy	10850.Healthy	10684.Healthy	10562.Healthy	10451.Gastrectomy	10355.Gastrectomy	10080.Healthy	10106.Healthy	10112.Gastrectomy	10696.Gastrectomy	10048.Healthy	10156.Gastrectomy	10215.Healthy	10690.Gastrectomy	10192.Gastrectomy	10423.Gastrectomy	10465.Healthy	10219.Healthy	10632.Healthy	10540.Gastrectomy	10741.Healthy	10378.Healthy	10302.Healthy	10574.Gastrectomy	10776.Healthy	10807.Healthy	10107.Healthy	10501.Gastrectomy	10538.Gastrectomy	10244.Healthy	10231.Healthy	10166.Gastrectomy	10246.Healthy	10104.Gastrectomy	10189.Gastrectomy	10167.Gastrectomy	10680.Gastrectomy	10657.Healthy	10036.Healthy	10357.Healthy	10243.Gastrectomy	10100.Healthy	10543.Healthy	10698.Healthy	10226.Healthy	10205.Gastrectomy	10342.Gastrectomy	10321.Gastrectomy	10487.Healthy	10701.Healthy	10810.Gastrectomy
M00812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49550371188E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00813	1.91921974441E-5	2.3514449232133334E-5	3.688172988726667E-5	3.80324497749E-5	1.3354071050786668E-5	3.267883333436667E-5	6.514810430263332E-5	3.229705846833334E-5	1.6730770295466668E-5	3.970254292476667E-5	1.4374734290933335E-5	8.276496961729999E-6	2.0434890086466664E-5	1.1669775610333332E-5	5.52484755515E-5	2.0113940143266668E-5	3.313713476373333E-5	3.8357517731799996E-5	4.4766903327766665E-5	1.14987598607E-5	3.9435023548933336E-5	4.8498784779233334E-5	7.494937918503334E-5	5.01820834767E-6	2.4339542928966666E-5	4.55698440529E-5	5.5156511147266676E-5	2.8236658026866667E-5	3.974131216006667E-5	2.27417851366E-5	4.110296467163334E-5	6.717772279289999E-5	4.84790746698E-5	4.940022727666667E-6	2.2734302063066664E-5	2.521914537636667E-5	2.60548187613E-5	1.3079407661933335E-4	1.7167969295033333E-5	2.0211567503433336E-6	1.40510254193E-6	1.2270832045599999E-5	2.60856540656E-5	1.9120601827E-5	1.48050262609E-5	1.7921642311666667E-5	1.1800967250533334E-5	9.121382121033333E-5	6.771241216283334E-6	3.43264465093E-6	1.2841538886866665E-5	6.112185647636668E-5	2.13914162773E-5	2.5690925398866663E-5	8.527796588676667E-6	7.54973214128E-5	3.3831661658966666E-6	1.76428629955E-5	1.53345787724E-5	3.94765459447E-5	2.25168964429E-5	7.793847615863334E-6	3.461032004583334E-5	2.049462735346667E-5	3.8057516665066665E-5	6.222358961020001E-5	2.125665038893333E-5	1.81885854165E-5	2.30213618307E-5	2.958835718046667E-5	3.04505709405E-5	2.6177943502899998E-5	4.740153465146666E-5	1.3359731902546667E-5	1.2940987893033334E-5	8.2144967775E-6	1.60253316921E-5	4.3218085484799996E-5	1.5433908628933334E-5	1.7159257779366666E-5	1.6570476598866667E-5	1.4504694763366665E-5	2.7002468708866668E-5	3.704018631976667E-5	1.7453775581966665E-5	9.196974478880001E-6	1.0843421862036668E-5	4.075541320996667E-6	3.2101569068233335E-5	2.39982500433E-5	2.0593284993333333E-5	2.6753893691133334E-5	3.079033969596666E-5	1.17548603144E-5	3.387679702696666E-5	3.8144619938733337E-5	7.645259905813333E-6	1.66870023035E-5	3.9031398265966667E-5	3.2359581674666664E-5	1.89814541752E-5	4.0065234971633334E-5	1.3258552716326667E-5	4.8674367325700003E-5	1.4238163778933334E-5	2.62422445009E-6
M00816	1.2993960923249998E-4	3.4973205684749997E-4	2.3585779924050002E-4	1.0800811817434998E-4	3.32823946771E-5	1.5070283491400003E-4	3.33179455704E-4	1.4007309798949998E-4	2.795172470835E-4	4.3073772644599997E-4	7.471770869875E-5	7.78818044431E-5	1.60294829963E-4	1.4209255022500002E-4	1.8469159289499998E-4	3.819744551675E-4	2.605439432385E-4	2.820839580085E-4	2.16888563055E-4	9.729609962005E-5	2.78112663451E-4	3.7858556794350003E-4	3.9546512880949997E-4	7.913638884795001E-5	2.016058648035E-4	2.1665282459600003E-4	4.0505342391150003E-4	2.060928667545E-4	2.313042894545E-4	8.513258775329999E-5	2.885369179549999E-4	1.4036659257950001E-4	3.0746755057350006E-4	3.52722019177E-5	1.844510960335E-4	2.0772665098649999E-4	2.46560440728E-4	1.76587253961E-4	2.0315330814949997E-4	7.156491626784999E-5	1.4534415891350001E-5	1.33227905805E-4	1.6855559173650002E-4	2.104840560785E-4	4.064410521925E-5	1.7573036899050002E-4	9.253473387485E-5	4.8428567502199993E-4	1.1789393894850002E-4	1.26655303439E-4	7.11900408523E-5	1.531097456095E-4	3.9505662147350007E-4	2.1399382639849997E-4	3.3864438086699997E-4	4.262912865494999E-4	5.743617620585E-5	2.1255741563250003E-4	9.48480248187E-5	1.577274632215E-4	2.80983974749E-4	1.799345053945E-4	2.163251046245E-4	1.059243142015E-4	2.57597630228E-4	5.145437990299999E-4	1.421906241925E-4	2.1469974511800001E-4	1.762707164255E-4	3.354828726575E-4	1.8889552782749998E-4	1.150430843365E-4	1.539406816245E-4	2.401092145175E-4	9.247522186385E-5	8.907861071840001E-5	2.73909506824E-4	2.109047688025E-4	3.553118445565E-4	8.837553905300001E-5	6.10023429751E-5	6.034843218575E-5	1.0619511238049999E-4	3.1674363797949993E-4	1.640054642145E-4	4.967837086225E-5	6.96143359792E-5	5.62980427576E-5	1.5237526219800002E-4	2.7168283120650004E-4	2.730543640185E-4	2.1210655873249998E-4	1.575445966475E-4	2.374075003025E-4	3.492324545765E-4	2.9410659858850004E-4	1.73111985201E-4	2.513271404515E-4	1.64606405363E-4	2.924048238535E-4	2.3744057190250002E-4	3.702138050075001E-4	6.31575314757E-5	2.876490072235E-4	7.893140811775E-5	6.790565427795001E-5
M00817	3.4713470843759995E-5	1.4387520272380003E-4	4.2808361268779995E-5	2.2962055724599998E-5	1.2566462035720001E-5	2.3428560331980003E-5	5.6868915311760005E-5	3.223554420982E-5	4.2665822954499996E-5	7.068672772181999E-5	1.1051510310219998E-5	1.729615377898E-5	2.778063227382E-5	3.25980013152E-5	3.71077421381E-5	9.775074964939999E-5	5.128903047054E-5	7.60930120894E-5	5.2232901152E-5	1.6741897453499998E-5	6.9958076975E-5	1.1326640540260001E-4	6.933131203736E-5	1.928988237102E-5	5.047490465056E-5	3.4891547436160004E-5	9.304347286999999E-5	5.180305954454E-5	6.17560976228E-5	1.381742718006E-5	7.969759123E-5	2.970596377444E-5	7.595150300239999E-5	9.73569489494E-6	3.8276308208059996E-5	4.4928454111299997E-5	7.184958073906001E-5	1.0268210042340001E-4	5.587335641907999E-5	3.2969598742140004E-5	3.1363777438439997E-6	3.274062592102E-5	3.540667012788E-5	5.2937557208360004E-5	6.856845112419999E-6	2.9885359586880003E-5	2.239849180502E-5	1.1929155014240001E-4	2.785479504242E-5	3.14484966738E-5	9.967853416579998E-6	1.918600364792E-5	1.1759066403539998E-4	5.5138744894479994E-5	1.232690065426E-4	7.943930645534E-5	1.528284070602E-5	3.273573765372E-5	2.6127943437199995E-5	2.894569549312E-5	5.992128430424E-5	2.729062188688E-5	3.525652562208E-5	4.06500634712E-5	5.7923944620439995E-5	1.464267194422E-4	3.67990953489E-5	6.0217726908E-5	3.0249196022399997E-5	6.901864261448E-5	4.3934271789859996E-5	3.0514618529299996E-5	3.9170620727899995E-5	4.648017229358E-5	1.8809747384559998E-5	1.568576925692E-5	1.02969852593E-4	6.198992275881999E-5	7.937298407826E-5	2.55673314626E-5	2.105106718302E-5	2.3381018236880002E-5	1.74901951061E-5	8.075198974520001E-5	4.19459328774E-5	1.373861282732E-5	1.846929871928E-5	1.0953334267761999E-5	3.255202158364E-5	5.5385236977840006E-5	6.307782496788E-5	5.6865238319219995E-5	3.210074244532E-5	6.180071704938E-5	7.7063752082E-5	8.96331696868E-5	8.144711476570002E-5	6.0978783998020006E-5	3.0386751504639998E-5	7.06457073093E-5	5.406795785749999E-5	7.91003763674E-5	2.3940454617879998E-5	3.7623976638600005E-5	1.1089967553360001E-5	1.0817865090940001E-5
M00818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.417950166985E-6	0.0	4.927159270574999E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7238594463900005E-6	0.0	1.92953650415E-6	0.0	0.0	0.0	0.0	4.234557296355E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53073886219E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21346273334E-6	0.0	1.74792654055E-6	0.0	0.0	0.0	0.0	0.0	0.0	5.31573373647E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.028555465195E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0699543327000003E-6	0.0	0.0	1.161626873915E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00806	2.685517581866667E-5	2.426533349116667E-4	2.0170295098233333E-5	2.2620158305913334E-5	1.5071166356533331E-5	3.104260953576667E-5	8.631308116919998E-5	5.052558733783333E-5	9.015245403146668E-5	7.689209118766668E-5	3.851479954026667E-5	2.41970466171E-5	1.8429200193593334E-5	2.833034444433333E-5	1.068238570438E-4	6.837301453323333E-5	7.203743219336667E-5	7.048841710586666E-5	7.44934393142E-5	1.5738253245433332E-5	1.2254865481059997E-4	2.63219168723E-5	1.2479674058566665E-4	1.8432871103373332E-5	6.948225783739999E-5	3.52061563275E-5	1.3941367385866666E-4	2.9755975404866664E-5	3.285036511383333E-5	4.888968135393333E-5	1.0383432797026668E-4	5.4141807496800006E-5	2.7288939918000002E-5	1.1441785222053333E-5	3.83369945929E-4	8.80893991986667E-5	5.3809030752E-4	3.228978993276667E-5	5.0106309879100005E-5	2.442959058183333E-5	6.123379280451999E-5	4.0358710799519994E-5	2.6332365232900003E-5	6.9602702826E-5	2.4850614529833332E-5	3.09702829831E-4	1.474279521382E-5	6.345931824063333E-5	1.4611554359E-4	3.4820961519400004E-5	9.679161803626667E-5	3.69042081297E-5	2.5877331072166667E-5	8.762414531873334E-5	1.1224354846893333E-4	1.6911479933566663E-4	2.7064569852693333E-5	1.3835283976233334E-5	1.2222361463633335E-5	2.2541635509499994E-5	7.12451933503E-5	2.539586601066667E-4	7.721250158303333E-5	2.6949934667133335E-5	1.5875226399099997E-4	9.79535892784E-5	1.6073868856300003E-4	5.8312505196399986E-5	1.2054738981666668E-4	2.82554992886E-5	1.6306618795933333E-4	2.7366232005566663E-5	4.831861069483334E-5	1.1471897385166665E-5	6.507546453046667E-5	1.12792531944E-5	5.374502337656667E-5	4.69187342627E-5	3.519598701516667E-5	2.2467712981366665E-5	2.7206778679666665E-5	7.809619011093332E-5	2.7504630287766667E-5	3.1487076802899996E-5	2.1599745000599996E-5	2.8179026405046666E-5	9.9275510996E-6	2.543075630679333E-5	7.747732224113333E-5	3.4714411367399996E-5	1.678042825663333E-4	5.56962573208E-5	1.83466654064E-4	2.7500166477733337E-5	6.01380868343E-5	1.381716902727667E-4	3.400987069608667E-5	2.2176183220799998E-5	6.527716814456666E-5	4.630315390303333E-5	4.96783666513E-5	1.1786495898733335E-4	6.424679506200001E-5	8.195747681746667E-5	1.23474054481E-5	1.9299505377466664E-5
M00807	3.88441091797E-6	1.1091346567953333E-4	2.1091399778999994E-7	0.0	5.122360496133334E-7	0.0	6.068616061843334E-6	0.0	2.4867396674966665E-6	2.0113967309966665E-7	2.0278567442300003E-6	0.0	0.0	1.50995022055E-6	2.516936063043333E-5	3.060217969283333E-6	2.3638091048733334E-6	9.574658686006666E-6	1.0309913104436667E-6	4.6925674584000004E-7	2.71481685739E-5	2.8012923497366665E-6	1.8380605144766667E-5	0.0	4.659804455144E-6	0.0	1.4273667962023335E-5	0.0	7.87046852558E-7	6.509944519433334E-7	5.052571774976667E-6	0.0	0.0	0.0	3.3199453738766664E-5	5.898038053343334E-6	8.12249928932E-6	2.38575944618E-6	1.0974408801633333E-6	3.132545676016667E-6	0.0	2.9958781492166667E-7	3.8149985052E-6	2.35036077586E-6	1.287382056443E-6	1.1342751393446669E-5	2.6327146101833336E-6	0.0	1.0118408911533332E-5	1.0496635777606667E-6	1.5610735241533334E-5	0.0	1.7021766857700002E-7	1.206954791307E-5	3.072753860823333E-7	1.1440002018166666E-5	0.0	0.0	0.0	2.98480710266E-6	3.2979047349999997E-6	1.0094826457773334E-5	4.158486170776667E-6	7.051973512726666E-7	7.566240658423333E-6	3.5905393959200002E-6	1.552320038393333E-6	0.0	1.1934139116833335E-6	1.43249058105E-7	1.679139747513333E-5	0.0	8.153698750633334E-7	2.57622571424E-7	2.4080601861066665E-6	0.0	1.20315068153E-6	1.0096540173800002E-6	1.156653287533E-6	1.5802024935856665E-6	7.529170882256666E-7	1.8273476584633333E-6	2.7572300308300003E-6	4.069901946636667E-7	2.5941266330266665E-6	3.351529540533334E-7	0.0	0.0	3.5976957025766666E-6	3.5468670216499996E-7	5.674743659816666E-6	3.25029195678E-6	4.190092625816667E-5	1.08730870098E-7	8.878399901233333E-7	9.416186900586668E-6	0.0	2.1442335059733332E-6	4.1214607483333335E-6	6.815847223623334E-7	3.129406795773333E-6	1.301483520664E-5	0.0	1.3663956149400001E-5	0.0	4.308912460926667E-7
M00809	6.001274181633334E-5	9.918144328746664E-5	8.721112971206667E-5	1.000846913007E-4	3.1341848777166664E-5	1.4449672449999999E-4	2.0874689700566665E-4	9.384872754670001E-5	1.9136531961433335E-4	2.3485603229900004E-4	3.8454369751533334E-5	7.980199046510001E-5	9.963686228906667E-5	2.8994045344333334E-5	9.718248426516667E-5	6.09783310917E-5	7.51111791073E-5	1.4667093714599994E-4	1.6924326549566668E-4	2.67409671698E-5	1.0602775564566666E-4	1.09063658284E-4	9.717675793276667E-5	6.45440556496E-5	1.1906141442933332E-4	9.959303398056667E-5	1.0811039938633334E-4	8.678509054523334E-5	1.0618277222866667E-4	2.05461479276E-5	1.5378411033533333E-4	8.92740654829E-5	1.6767315756799998E-4	2.8364045206933332E-5	1.506907786746667E-4	5.0890779829E-5	1.50401356376E-4	6.732823094786668E-5	1.285823915243333E-4	1.0204985779396667E-4	5.848944263463334E-5	3.8966312492866665E-5	1.3433702227866668E-4	8.43570847247E-5	2.9845263475533335E-5	4.57173893279E-5	2.9211134429200002E-5	2.212927312853333E-4	6.34203949621E-5	5.282547435973333E-5	4.439641679200001E-5	8.488120360359999E-5	5.5145136603333335E-5	8.934249945586667E-5	1.1576242635533337E-4	1.5666720043666668E-4	2.8710676065866665E-5	7.51397835168E-5	4.7295709489566666E-5	5.44108805447E-5	1.3656774104066666E-4	1.0522264569586666E-4	7.04068940261E-5	1.07188456421E-4	9.60921621712E-5	2.683615801636667E-4	9.653173868793333E-5	6.045313670286667E-5	8.518434841266668E-5	8.896504582636667E-5	3.71120295416E-5	6.56451215525E-5	3.23776100914E-5	1.0716802417466666E-4	1.4677898474176664E-4	1.375065761052E-4	2.607345893653333E-4	9.95367442724E-5	1.8200041808533334E-4	5.954392523353333E-5	4.916750824306667E-5	1.2908297925693334E-4	7.330019009516666E-5	6.35917329672E-5	4.3909232184400005E-5	2.0255621501466666E-5	6.142512923379999E-5	8.690443799643333E-5	1.5752579469266667E-4	7.010822947803334E-5	1.433521715573333E-4	6.781218519633332E-5	1.0097942218203332E-4	1.3209860813599998E-4	1.69493567626E-4	1.7979202729499996E-4	1.366851777463E-4	1.2105562386190002E-4	1.4717815471799995E-4	1.3233740771166668E-4	6.117421546506667E-5	1.0152572094033334E-4	5.983654795416667E-5	9.01398660786E-5	4.35866145486E-5	5.19392084562E-5
M00710	0.0	6.245530472599999E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.139154096135E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65538118152E-7	2.74730607211E-7	0.0	0.0	0.0	0.0	0.0	6.35643021605E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.742557963585E-7	0.0	0.0	0.0	2.2422423989299997E-7	0.0	0.0	0.0	0.0	0.0	2.2266718373249998E-7	0.0	0.0	0.0	8.3343275078E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.033301001085E-7	0.0	0.0	0.0	0.0	0.0	0.0	2.214157920365E-7	0.0	0.0	0.0	4.16827802336E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.928131442075E-7	0.0	0.0	0.0	0.0	0.0	0.0
M00711	0.0	1.655791468215E-5	1.5261732411200001E-6	3.136489392575E-5	7.895767176404999E-6	0.0	2.306810181995E-7	2.58852641573E-6	3.14176429723E-7	1.503928499895E-5	8.412806121515001E-6	4.996038184685001E-7	3.5805148829849996E-6	2.688989690565E-5	2.31496639452E-5	1.5524312424050001E-6	4.670833361059999E-6	4.540099657225E-6	6.19909256058E-5	4.18953107945E-6	3.1004918169950005E-6	2.75574050296E-7	3.8065709077799997E-6	1.075781480194E-5	5.256367958390001E-5	6.86837699668E-7	4.405794428835E-6	1.91873911899E-6	2.80007417767E-7	6.69257072417E-5	1.83635714158E-5	0.0	1.52877559162E-6	0.0	4.11374704522E-6	1.2382413131345E-6	1.58373859874E-6	1.3486016943150002E-6	1.21009014404E-5	2.918397364835E-6	8.16191719499E-5	5.1619892613649995E-5	0.0	3.65749285188E-5	5.93822725819E-6	1.70825871461E-5	1.366607509011E-6	1.568559025095E-5	3.2038895005250003E-6	1.66273051195E-5	8.186118523815E-5	2.599070726329999E-7	3.77500945412E-6	2.1164074874E-6	2.899821466605E-5	1.1706381171475E-6	2.084424670235E-5	9.184248591634998E-7	0.0	2.5448326796399997E-6	3.508969975955E-6	1.445658761205E-5	1.2564658937265002E-6	1.3546211443749999E-6	3.61812041605E-6	0.0	5.990204467165E-5	7.48035596455E-5	1.585000763865E-5	7.835860561089999E-7	1.8049144627100001E-7	1.230223504378E-6	3.211287333435E-6	4.015845940125E-6	6.0215381216949994E-5	1.93678637547E-5	0.0	1.22240431913E-5	1.0721980641114999E-6	1.011155560938E-6	5.3181415095149996E-5	6.45531948145E-5	1.17975188159E-5	1.745184076655E-6	0.0	3.60437642642E-5	1.6010195464500002E-6	4.737694407695E-6	6.346754495585E-5	1.060696543749E-5	3.085922305325E-5	7.674118980625E-6	1.8995357998550003E-6	7.55661339798E-6	0.0	1.0014195459934999E-6	1.0967870641199999E-5	6.11164497564E-7	6.842589486714999E-6	5.459456847850001E-6	1.798440278085E-6	2.73966296555E-6	4.29457899349E-5	4.5245060247349996E-7	1.69286168028E-7	5.755677096730001E-6
M00712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8772525481950002E-5	0.0	0.0	0.0	5.840050350815E-7	2.5653576661600002E-5	4.093420812610001E-6	0.0	0.0	6.29765775903E-7	0.0	5.0233498918199995E-6	0.0	0.0	3.088040734155E-5	0.0	0.0	3.66946818912E-6	3.1893530469699997E-6	0.0	0.0	0.0	3.76710758493E-6	0.0	0.0	0.0	0.0	1.711236984885E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.875292297320001E-7	1.7044645099E-5	0.0	0.0	4.800189984985E-7	0.0	0.0	0.0	4.369057132720001E-5	0.0	3.51389530118E-5	0.0	0.0	0.0	3.7591491696649997E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.084447466788E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0397689044799998E-4	0.0	4.121375848735001E-6	0.0	1.19294278542E-6	3.1445517823049998E-6	0.0	0.0	1.829070224045E-5	2.770989112235E-6	0.0	0.0	0.0	0.0	2.3195783887950003E-6	1.4822694752050001E-5	0.0	0.0	9.64364899506E-6	0.0	5.447894981385E-6	0.0	3.80434133454E-7	0.0	0.0
M00715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.829299102534998E-7	1.7501175432825003E-5	0.0	0.0	0.0	1.971890646745E-6	0.0	3.140422992760001E-5	0.0	0.0	1.0728441019499999E-5	0.0	0.0	0.0	6.32079047887E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4006538962215E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.6933561457865E-5	0.0	0.0	0.0	0.0	0.0	2.36136453059E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4382023732E-6	0.0	4.190626933004999E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.034080070358501E-6	0.0	0.0	9.386548470295E-6	0.0	5.308964699E-6	0.0	0.0	0.0	0.0
M00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.268112683849999E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27986933924575E-6	0.0	0.0	0.0	0.0	0.0	1.2818989058715E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.751541327835E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19029788754E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3426035680624996E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.578107092311E-6	0.0	0.0	0.0	0.0	2.4219953245724997E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7646758382675004E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2083296123675E-6	0.0	2.7796110718225E-6	0.0	0.0	0.0	1.90080432888625E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00719	0.0	0.0	4.501062702389999E-7	0.0	0.0	0.0	0.0	0.0	6.479326475540001E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.108122612285E-6	7.325068882145001E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.945449506190001E-6	0.0	6.703471504475E-7	0.0	2.8387892222149997E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5523409748199998E-6	0.0	7.530177460435E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.151060015929E-6	0.0	1.7722349116545E-6	3.30113784239E-6	0.0	1.7101229088409996E-5	0.0	0.0	0.0	0.0	0.0	3.6407513748049997E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.953729069644999E-6	0.0	6.776411914285E-6	0.0	3.576345740786E-6	3.569227329117E-6	0.0	1.724579715698E-5	0.0	0.0	0.0	0.0	4.63900757254E-6	0.0	0.0	3.84205080773E-6	0.0	0.0
