	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10068.Gastrectomy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10056.Gastrectomy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10455.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10243.Gastrectomy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10618.Healthy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10104.Gastrectomy	10369.Gastrectomy	10574.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10562.Healthy	10395.Gastrectomy	10742.Gastrectomy	10672.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10509.Gastrectomy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
-1	0.390609016751	0.345233644252	0.249559880379	0.168353403726	0.236756365637	0.385366818173	0.345834333945	0.318696887957	0.366449209454	0.313416761388	0.412823434616	0.076143379154	0.259821448959	0.161577774254	0.177744991659	0.0183399065094	0.506923162536	0.281383499616	0.387149904877	0.120044621643	0.381426209303	0.344594511117	0.377108014434	0.0195479630646	0.547011172353	0.464908260029	0.235874635372	0.302294378308	0.318035108242	0.137753314009	0.294951711905	0.176795884143	0.216592188885	0.314752066182	0.187468177465	0.425360713733	0.149696561912	0.398057324351	0.367980627524	0.469352180945	0.148037715907	0.48352786183	0.393981033634	0.316408883747	0.324160038492	0.529145164641	0.205351121638	0.546255798621	0.221938692045	0.140513487278	0.584840739834	0.161169532983	0.221564313525	0.227804594347	0.542765869011	0.505050399449	0.136212698177	0.35247921304	0.275801421371	0.79504320323	0.186873991327	0.400332427036	0.39291541393	0.309819585936	0.374787322939	0.502232585936	0.226992504701	0.31128567245	0.304996588298	0.2136999962	0.182920050261	0.253885565945	0.427887623538	0.158783706099	0.357813036197	0.178480935577	0.407001564759	0.644530534197	0.501275408914	0.343883530629	0.362017453059	0.177628478759	0.458623727837	0.293562545038	0.223027101598	0.0640237311233	0.0448305293835	0.252715832498	0.110941231694	0.0981302552058	0.441931120932	0.467173751881	0.376535678769	0.466272813176	0.402134595211	0.1229909713	0.282470527549	0.361866247173	0.39830910394	0.306186325032	0.528987956058	0.243450851913	0.495589506332	0.498442795791	0.553105621913	0.20106042499
Abiotrophia defectiva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter piechaudii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.60549625492e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54996351054e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter xylosoxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93769504149e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus fermentans	2.31108895211e-05	0.000497579188954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.47171308378e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77236322437e-05	1.33260891904e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73153894143e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000240420203466	0.0	0.0	0.0	0.0	0.0	4.85401516684e-05	0.0	0.0	0.0	5.49019730095e-05	0.0	0.0	0.0	9.62116854339e-06	0.0	0.000214211546496	0.000217577512691	0.0	0.00139356430823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4019132825e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743444862684	0.0	0.0	2.19557972961e-05	0.0	0.0	0.0	0.0	0.000215485156648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00668995749812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73671585748e-05	0.0	0.0
Acidaminococcus intestini	0.0	0.000555571693019	0.0	0.0	0.0	0.0	0.0	0.0	0.00336046803609	0.0	0.00731215624525	0.0	0.0	0.0180662417872	0.0240413307142	0.0	0.0	0.00493710241048	0.0	0.0	0.0	0.000433459472824	0.0	0.0	0.00098676328193	0.0	0.012592228225	0.0	0.0	0.0164822672693	0.000405332660448	0.0396806256876	0.00230229969525	8.6942905133e-06	0.00556758897456	5.62717752764e-06	0.0	1.01052574797e-05	0.0	0.0	0.0	0.000644607516696	0.0	0.0	0.00109530819469	0.0	0.0	0.00259473960136	0.0356616886202	0.0	0.0	0.0	0.0222246016614	0.00438434453559	0.0	0.00267386201008	0.0	0.0	0.0	0.0	0.0	0.0	0.00287266794761	0.0	0.0	0.0	5.32834901873e-06	0.00382554295364	0.0	0.0	0.0	0.0	7.51261452695e-06	6.23257748593e-06	1.88610452834e-05	0.0306004495546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0186943817295	0.00211476570707	0.0	0.0	0.0	0.0	1.36541074323e-05	0.0	0.0	0.0	0.0101165716295	0.000223159043992	0.0286069210836	0.0	0.000213775640182	0.0	0.0	0.0	0.0
Acidaminococcus sp. D21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111304014656	0.0	0.00442275775384	0.0	0.0	0.0028344297207	0.0103867048909	0.0	0.0	0.00245291417527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00327558842694	0.000201391403323	0.00603044541204	0.000915117972387	8.63858034506e-06	0.0	5.59112041564e-06	0.0	1.00405062969e-05	0.0	0.0	0.0	0.000640477082689	0.0	0.0	0.0	0.0	0.0	0.0	0.00949821816948	0.0	0.0	0.0	0.00509615921838	0.00108914151059	0.0	0.00151827866363	0.0	0.0	0.0	0.0	0.0	0.0	0.000356812908266	0.0	0.0	0.0	5.29420670202e-06	0.00228087652537	0.0	0.0	0.0	0.0	7.4644761517e-06	6.19264116913e-06	1.87401898778e-05	0.00996079150098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00630399400057	0.0	0.0	0.0	0.0	1.35666163805e-05	0.0	0.0	0.0	0.001311209158	0.0	0.00643605846572	0.0	0.000212405835842	0.0	0.0	0.0	0.0
Acidithiobacillus ferrooxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax ebreus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax sp. JS42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
